Date,Region,Fuel_Energy_Input_TJ,Net_Electricity_Output_GWh,Water_Use_m3,Ash_Produced_t,Renewable_Share,Auxiliary_Power_Ratio,LTIFR,Noise_Level_dB,Land_Use_m2_per_MWh,Fuel_Type,CO2_Emissions_tCO2,CH4_Emissions_tCO2e,N2O_Emissions_tCO2e,Thermal_Efficiency_pct,Carbon_Intensity_gCO2_per_kWh,Useful_Heat_TJ,CHP_Utilization_pct,Carbon_Cost_EUR_per_MWh,Capacity_Factor_pct
2024-01-01,EU,52483.57076505617,5439.189812887454,2895.7399513617897,684.7037981427296,0.14680559213273098,0.03623978081344811,0.6452090304204987,75.98528437324805,3.404460046972835,Coal,4964945.794374313,49649.45794374313,24824.728971871566,37.308678494144075,912809.8053519882,15745.071229516849,32.878802116928064,73.02478442815905,62.18113082357347
2024-01-02,EU,47095.60932988243,4627.723671998687,2181.6523600607948,383.91560466885073,0.2574269294896714,0.047277800745684634,1.2280728504951048,68.35558684167138,1.5579754426081673,Coal,4455244.642606878,44552.446426068775,22276.223213034387,35.37415096410926,962729.1857473166,14128.682798964728,32.729530629073196,77.01833485978531,58.956918273515434
2024-01-03,EU,45459.87962239394,3906.8636001758505,2239.736291385034,434.07126934052474,0.15990213464750794,0.05056937753654447,1.9810364221551062,51.39351238159993,3.4301794076057535,Coal,4300504.612278467,43005.04612278467,21502.523061392334,30.93848149332354,1100756.2721372966,13637.963886718182,32.387266706096256,88.06050177098373,51.564135822205905
2024-01-04,EU,46998.730749470444,5579.472729128539,2870.9271782288447,410.24630527796216,0.23204574812188042,0.034881529393791154,1.7379422752781755,51.03165563345655,4.637281608315128,Coal,4446079.928899904,44460.79928899904,22230.39964449952,42.737199105233195,796863.8157667525,14099.619224841133,33.29767614993473,63.7491052613402,71.22866517538866
2024-01-05,EU,54112.72456051595,4794.39294508095,2447.2651798592274,329.04106631920257,0.26401308380298394,0.037394178221021084,2.9239615694113965,73.25398470083343,4.757995766256757,Coal,5119063.743424809,51190.637434248085,25595.318717124042,31.89578175014489,1067718.854516706,16233.817368154783,32.461133648510355,85.41750836133649,53.15963625024149
2024-01-06,EU,51093.19158026931,6018.940396986099,2705.788971784181,349.14080664234905,0.1814047095321688,0.06314950036607718,1.3918833167339733,58.42803529062142,3.170784332632994,Coal,4833415.923493477,48334.15923493477,24167.079617467385,42.40880519474305,803034.355667277,15327.957474080793,33.27233670820527,64.24274845338216,70.68134199123843
2024-01-07,EU,51620.41984697398,5172.778629763008,2411.3109320215494,579.3541721505488,0.10165663513708073,0.06261845713819336,2.267143359619043,71.87021504122961,4.0850813867437825,Coal,4883291.717523738,48832.91717523738,24416.45858761869,36.074588597918414,944036.4776923514,15486.125954092193,32.78357760753431,75.52291821538812,60.12431432986403
2024-01-08,EU,48964.17054947713,4744.477437102504,2014.4687558537546,597.3283096278607,0.1190675050858071,0.042439292868626494,1.3129583050668676,71.88818535014192,3.5502298854208525,Coal,4632010.533980536,46320.10533980536,23160.05266990268,34.8826130250752,976295.1969710172,14689.25116484314,32.69160271212315,78.10361575768138,58.13768837512533
2024-01-09,EU,49639.94939209833,5931.699364946033,3073.105491478849,432.35206998010074,0.3282355145850693,0.05245108790277985,2.4274179498864026,64.81386789093172,3.0909313175279762,Coal,4695939.212492501,46959.39212492501,23479.696062462506,43.017664489460124,791668.4450064378,14891.984817629498,33.31931734373805,63.333475600515044,71.69610748243353
2024-01-10,EU,48006.808049923995,5026.843695190187,2156.8300077041745,580.1614704337768,0.25257120734941085,0.06630265895704374,1.1232305728721874,62.31148769106889,4.022204554172195,Coal,4541444.041522809,45414.44041522809,22707.220207614046,37.695679562626275,903438.4828532027,14402.042414977199,32.9086637882648,72.27507862825621,62.82613260437713
2024-01-11,EU,45957.531985534064,4530.8380201719065,2472.7959460174748,489.7924991302702,0.34110162306973435,0.03746280235544144,2.7313974962249445,66.18026725746952,4.229760620656251,Coal,4347582.525831522,43475.82525831523,21737.912629157614,35.49121478207732,959553.7307834652,13787.259595660218,32.738563475600714,76.76429846267722,59.152024636795545
2024-01-12,EU,48453.55726777711,5567.577322653456,2712.3482420533537,448.89064310011446,0.2281323365878769,0.06272059063689972,2.6518264581408584,50.20856391593572,3.042989210310263,Coal,4583706.517531714,45837.06517531715,22918.532587658574,41.365627513869875,823285.6504536453,14536.067180333133,33.191843315320796,65.86285203629161,68.94271252311646
2024-01-13,EU,42923.14628974793,4280.041060567461,2066.6789201443753,360.35893371400124,0.38287291117375577,0.04292811728083021,1.7969765543584153,71.09056876685534,2.454518409517176,Coal,4060529.6390101537,40605.29639010154,20302.64819505077,35.89677338617321,948712.7767114918,12876.943886924379,32.76985707846025,75.89702213691933,59.827955643622
2024-01-14,EU,49907.2459774418,4108.019844652873,1833.710819332255,399.9979745558496,0.11106608420635984,0.05438257335919588,1.7566975580721538,51.54436253749968,2.1145858569464457,Coal,4721225.469465994,47212.25469465995,23606.127347329973,29.632476890048885,1149270.3657727672,14972.17379323254,32.28649313360923,91.94162926182139,49.387461483414825
2024-01-15,EU,49038.195176094385,5381.676674825996,2681.497961344766,375.7622283473407,0.3956951362331803,0.03968221086046002,2.1803388685146965,72.84858845986153,1.9505501759695987,Coal,4639013.263658528,46390.13263658528,23195.06631829264,39.50773671166806,862001.4809433939,14711.458552828315,33.04848524984444,68.9601184754715,65.8462278527801
2024-01-16,EU,45990.86078325153,5738.693356457027,3272.5487958935796,587.9771276200792,0.2607324052224276,0.03361159080217633,2.588256238973095,59.623401949152075,1.746074041599417,Coal,4350735.430095594,43507.35430095594,21753.67715047797,44.9200785946634,758140.4267227941,13797.25823497546,33.46611090422807,60.65123413782353,74.86679765777232
2024-01-17,EU,50498.256825438206,4977.291331712319,2102.7404831637223,511.90718967532365,0.293551837122835,0.03697465716019966,2.227344345256165,61.602060389016124,4.746919954946938,Coal,4777135.095686454,47771.350956864546,23885.675478432273,35.48262172941901,959786.1120263165,15149.47704763146,32.73790042080537,76.78288896210532,59.13770288236502
2024-01-18,EU,48058.678005116926,4481.833059870718,2160.972947413743,534.0397369459099,0.29799521381025373,0.06268888800804864,1.8880020289986559,65.8895173506802,1.9674091636018067,Coal,4546350.939284061,45463.50939284061,22731.754696420307,33.57243813085576,1014395.422263944,14417.603401535078,32.5905073527789,81.1516337811155,55.95406355142627
2024-01-19,EU,51299.41397124212,5972.028349913061,2616.6589393160793,377.516838861072,0.31778670366107187,0.06588441039810308,2.7177160606627933,73.39626637572871,3.568126584617151,Coal,4852924.561679504,48529.24561679504,24264.62280839752,41.90911435888655,812609.0964973654,15389.824191372634,33.23377969964494,65.00872771978923,69.84852393147759
2024-01-20,EU,51131.44134749437,5999.045365430826,3051.964241231,386.8753243607877,0.307568559307808,0.05607845038010403,1.0606732736513995,71.36537664042608,1.9489963499872003,Coal,4837034.351472967,48370.34351472968,24185.17175736484,42.237007162883195,806300.6789957143,15339.432404248311,33.25908047513125,64.50405431965714,70.39501193813867
2024-01-21,EU,55792.977895037024,5253.352048086238,2879.7237221252717,603.9903332144921,0.29728386769010307,0.05273234413341887,0.7341869195702312,61.031474091783004,2.060809470726902,Coal,5278015.708870502,52780.157088705026,26390.078544352513,33.89658840824145,1004694.8425611889,16737.893368511108,32.615519348443314,80.3755874048951,56.494314013735746
2024-01-22,EU,54393.367740954476,5560.561743004114,3116.5230274460077,602.4565900310328,0.25079112793155767,0.05307615538505436,1.7312942345471598,55.857289633941335,3.8898084610460213,Coal,5145612.588294293,51456.12588294293,25728.062941471464,36.80202745903095,925376.3965067237,16318.010322286342,32.83970804736309,74.03011172053789,61.336712431718254
2024-01-23,EU,44645.53750969444,5011.794613283519,2449.899827453488,510.20924677880214,0.10463698495866024,0.06713274250350902,1.5704603707932858,78.99964457131009,4.854479908357011,Coal,4223467.848417094,42234.67848417094,21117.33924208547,40.41236207621593,842705.6921333122,13393.661252908332,33.11828770652743,67.41645537066499,67.35393679369321
2024-01-24,EU,47737.688838276656,5554.224940275412,3067.479343140807,444.710779152865,0.19507660154688333,0.0367797098674437,1.8920031561458754,78.08464322482342,3.784119186699892,Coal,4515985.364100971,45159.853641009715,22579.926820504857,41.88524897451804,813072.1050482054,14321.306651482997,33.23193820533814,65.04576840385641,69.80874829086339
